tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date
1005-2564,สีเคลือบกึ่งเงาแอลคีด,0,0,0,0,2,2,2,2025-11-01
1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,0,0,0,0,2,2,2,2025-11-01
1013-2533,บานประตูพีวีซี,0,0,0,0,24,18,24,2025-11-01
1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,0,0,0,0,13,4,13,2025-11-01
1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,0,0,0,0,3,3,3,2025-11-01
1024-2563,อาร์กอน,0,0,0,0,8,5,8,2025-11-01
1025-2562,หัวนมยางดูดเล่น,11,10,15,14,0,0,26,2025-11-01
1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,0,0,0,0,15,15,15,2025-11-01
1033-2552,แลกเกอร์แอโรซอล,0,0,0,0,1,1,1,2025-11-01
1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,98,29,291,116,0,0,389,2025-11-01
1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,10,9,0,0,0,0,10,2025-11-01
1045-2535,กระดาษพิมพ์ต่อเนื่อง,0,0,0,0,2,2,2,2025-11-01
1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,0,0,0,0,12,12,12,2025-11-01
1052-2534,ชุดระบายน้ำหลังคา,0,0,0,0,2,2,2,2025-11-01
1053-2534,ชุดระบายน้ำพื้น,0,0,0,0,3,2,3,2025-11-01
1054-2560,กระดาษถ่ายเอกสาร,0,0,0,0,10,7,10,2025-11-01
1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,31,23,5,5,0,0,36,2025-11-01
1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,0,0,0,0,1,1,1,2025-11-01
1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,0,0,0,0,1,1,1,2025-11-01
107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,0,0,0,0,31,25,31,2025-11-01
1092-2548,สีรองพื้นกัดผิว,0,0,0,0,1,1,1,2025-11-01
1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,0,0,0,0,4,4,4,2025-11-01
11 เล่ม 101-2559,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 101 สายไฟฟ้ามีเปลือกสำหรับงานทั่วไป,45,36,6,6,0,0,51,2025-11-01
11 เล่ม 3-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 3 สายไฟฟ้าไม่มีเปลือกสำหรับงานติดตั้งยึดกับที่,108,55,28,22,0,0,136,2025-11-01
11 เล่ม 4-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 4 สายไฟฟ้ามีเปลือกสำหรับงานติดตั้งยึดกับที่,40,31,2,2,0,0,42,2025-11-01
11 เล่ม 5-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 5 สายอ่อน,95,54,30,20,0,0,125,2025-11-01
1101-2535,อุปกรณ์ช่วยปิดประตูสำหรับประตูบานผลักสองทาง,0,0,0,0,11,5,11,2025-11-01
111-2538,ผ้าถักวงกลม,0,0,0,0,1,1,1,2025-11-01
1115-2535,แฟ้มกระดาษ,0,0,0,0,3,3,3,2025-11-01
1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,0,0,0,0,6,5,6,2025-11-01
1123-2555,สีรองพื้นสำหรับงานปูน,0,0,0,0,48,45,48,2025-11-01
1128-2562,แผ่นเหล็กมุงหลังคา,0,0,0,0,26,24,26,2025-11-01
1129-2535,ชุดพื้นยก,0,0,0,0,2,2,2,2025-11-01
113-2562,ตะปูเหล็ก,0,0,0,0,7,7,7,2025-11-01
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,0,0,0,0,1,1,1,2025-11-01
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,5,4,8,8,0,0,13,2025-11-01
1139-2536,ท่อทองแดงไร้ตะเข็บ,0,0,0,0,8,1,8,2025-11-01
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,0,0,0,0,4,4,4,2025-11-01
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,0,0,0,0,3,3,3,2025-11-01
1147-2549,ดินสอสี,0,0,0,0,3,3,3,2025-11-01
1149-2548,สีเทียน,9,8,14,8,0,0,23,2025-11-01
115-2529,กุ้งเยือกแข็ง,0,0,0,0,1,1,1,2025-11-01
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,0,0,0,0,116,18,116,2025-11-01
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,0,0,0,0,4,2,4,2025-11-01
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,0,0,0,0,137,119,137,2025-11-01
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,0,0,0,0,33,25,33,2025-11-01
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,0,0,0,0,149,128,149,2025-11-01
1170-2536,ฟรักโทสซิรัป,0,0,0,0,1,1,1,2025-11-01
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,0,0,0,0,21,19,21,2025-11-01
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,0,0,0,0,2,2,2,2025-11-01
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,0,0,0,0,14,4,14,2025-11-01
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,0,0,0,0,5,1,5,2025-11-01
1181-2536,ขวดนมพลาสติก,0,0,0,0,1,1,1,2025-11-01
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,0,0,0,0,4,2,4,2025-11-01
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,0,0,0,0,2,2,2,2025-11-01
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,0,0,0,0,5,5,5,2025-11-01
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,0,0,0,0,14,7,14,2025-11-01
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,0,0,0,0,1,1,1,2025-11-01
1220-2541,ชุดประตูทนไฟแบบบานเปิด,0,0,0,0,17,17,17,2025-11-01
