ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
1,1955-2551,บริภัณฑ์ส่องสว่างและบริภัณฑ์ที่คล้ายกัน : ขีดจำกัดสัญญาณรบกวนวิทยุ,Lighting and similar equipment : radio disturbance limits,บังคับ,890,219,4719,847,0,0,5609
2,2217-2548,เซลล์และแบตเตอรี่ทุติยภูมิที่มีอิเล็กโทรไลต์แอลคาไลน์หรืออิเล็กโทรไลต์อื่นที่ไม่ใช่กรด สำหรับการใช้งานแบบพกพา เฉพาะด้านความปลอดภัย,"Secondary cells and batteries containing alkaline or other non-acid electrolytes - safety requirements for portable sealed secondary cells, and for batteries made from them, for use in portable applications",บังคับ,10,8,1706,404,0,0,1716
3,2508-2555,กระเบื้องเซรามิก,Ceramic tiles,บังคับ,21,11,1590,197,0,0,1611
4,685 เล่ม 1-2562,ของเล่น: เฉพาะด้านความปลอดภัย เล่ม 1 ข้อกำหนด,Toys: Safety requiements Part 1 - Requirements,บังคับ,149,148,1443,399,0,0,1592
5,213-2560,คอนกรีตผสมเสร็จ,Ready-mixed concrete,ทั่วไป,0,0,0,0,1432,962,1432
6,2134-2553,เครื่องปรับอากาศสำหรับห้อง : ประสิทธิภาพพลังงาน,Room air conditioners : energy efficiency,บังคับ,729,39,187,65,0,0,916
7,655 เล่ม 1-2553,ภาชนะและเครื่องใช้พลาสติกสำหรับอาหาร เล่ม 1 พอลิเอทิลีน พอลิพรอพิลีน พอลิสไตรีน พอลิเอทิลีนเทเรฟแทเลต พอลิไวนิลแอลกอฮอล์ และพอลิเมทิลเพนทีน,"Plastic utensils for food part 1 Polyethylene, Polpropylene, Polystyrene, Poly (Ethlene Terephthalate), Poly (Vinyl Alcohol) and Poly (Methyl Pentene)",บังคับ,429,398,375,204,0,0,804
8,2721-2560,ยางล้อสูบลม : ข้อกำหนดด้านเสียงจากยางล้อที่สัมผัสผิวถนน การยึดเกาะถนนบนพื้นเปียก และความต้านทานการหมุน,Rolling sound emission adhesion on wet surfaces and rolling resistance,บังคับ,26,20,736,154,0,0,762
9,62368 เล่ม 1-2563,บริภัณฑ์เสียง วีดิทัศน์ บริภัณฑ์เทคโนโลยีสารสนเทศและการสื่อสาร เล่ม 1 ข้อกำหนดด้านความปลอดภัย,"Audio/video, information and communication technology equipment - Part 1: safety requirements",บังคับ,31,30,627,225,0,0,658
10,1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,"Grills, toasters and similar portable cooking appliances - safety requirements",บังคับ,31,21,621,166,0,0,652
11,2718-2560,ยางล้อแบบสูบลมสำหรับรถยนต์และส่วนพ่วง,Pneumatic Tyres for motor vehicles and their trailers,บังคับ,20,17,590,100,0,0,610
12,396-2549,เสาเข็มคอนกรีตเสริมเหล็กอัดแรงหล่อสำเร็จ,Precast prestressed concrete piles,ทั่วไป,0,0,0,0,609,351,609
13,2066-2552,ฝักบัวอาบน้ำ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,Shower units : environment requirements : water-savings,บังคับ,42,27,564,187,0,0,606
14,812-2558,มอเตอร์คอมเพรสเซอร์ เฉพาะด้านความปลอดภัย,Motor-compressors : safety requirements,บังคับ,15,9,583,116,0,0,598
15,934-2558,พัดลมไฟฟ้ากระแสสลับ - คุณลักษณะที่ต้องการด้านความปลอดภัย,A.C. electric fans: safety requirements,บังคับ,144,103,433,236,0,0,577
16,2067-2552,ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,Faucets for sanitary wares : environment requirements : water-savings,บังคับ,76,25,487,148,0,0,563
17,828-2546,ชิ้นส่วนคอนกรีตเสริมเหล็กอัดแรงหล่อสำเร็จสำหรับระบบพื้นประกอบ,Precast prestressed concrete elements for composite floor systems,ทั่วไป,0,0,0,0,548,381,548
18,1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,Hot rolled flat steel for general structure,บังคับ,93,65,407,96,0,0,500
19,128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,Precast reinforced concrete drainage pipe,ทั่วไป,0,0,0,0,457,439,457
20,2719-2560,ยางล้อแบบสูบลม สำหรับรถยนต์เชิงพาณิชย์และส่วนพ่วง,Pneumatic tyres for commercial vehicles and their trailers,บังคับ,24,20,420,116,0,0,444
21,918-2535,อุปกรณ์และข้อต่อเหล็กหล่อเทาสำหรับท่อส่งน้ำชนิดทนความดัน,Grey iron pipe fittings for water pressure lines,ทั่วไป,0,0,0,0,395,24,395
22,1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,Electric rice-cookers : safety requirements,บังคับ,98,29,291,116,0,0,389
