tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
1005-2564,สีเคลือบกึ่งเงาแอลคีด,2025-11-01,0,0,0.0,0.0
1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,2025-11-01,0,0,0.0,0.0
1013-2533,บานประตูพีวีซี,2025-11-01,0,0,0.0,0.0
1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,2025-11-01,0,0,0.0,0.0
1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,2025-11-01,0,0,0.0,0.0
1024-2563,อาร์กอน,2025-11-01,0,0,0.0,0.0
1025-2562,หัวนมยางดูดเล่น,2025-11-01,11,15,0.5769230547337286,0.4230769068047343
1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,2025-11-01,0,0,0.0,0.0
1033-2552,แลกเกอร์แอโรซอล,2025-11-01,0,0,0.0,0.0
1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,2025-11-01,98,291,0.7480719775113831,0.25192801991792285
1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,2025-11-01,10,0,0.0,0.99999990000001
1045-2535,กระดาษพิมพ์ต่อเนื่อง,2025-11-01,0,0,0.0,0.0
1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,2025-11-01,0,0,0.0,0.0
1052-2534,ชุดระบายน้ำหลังคา,2025-11-01,0,0,0.0,0.0
1053-2534,ชุดระบายน้ำพื้น,2025-11-01,0,0,0.0,0.0
1054-2560,กระดาษถ่ายเอกสาร,2025-11-01,0,0,0.0,0.0
1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,2025-11-01,31,5,0.1388888850308643,0.8611110871913588
1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,2025-11-01,0,0,0.0,0.0
1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,2025-11-01,0,0,0.0,0.0
107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,2025-11-01,0,0,0.0,0.0
1092-2548,สีรองพื้นกัดผิว,2025-11-01,0,0,0.0,0.0
1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,2025-11-01,0,0,0.0,0.0
11 เล่ม 101-2559,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 101 สายไฟฟ้ามีเปลือกสำหรับงานทั่วไป,2025-11-01,45,6,0.11764705651672439,0.882352923875433
