tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,num_manufacturing_entrepreneurs,num_import_entrepreneurs,num_display_entrepreneurs,num_total_entrepreneurs,total_licenses,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio,risk_score,risk_label
1005-2564,สีเคลือบกึ่งเงาแอลคีด,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1013-2533,บานประตูพีวีซี,2025-11-01,0,0,24,0,0,18,18,24,0.0,0.0,0.0,0.999999958333335,5.179145045712874,low
1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,2025-11-01,0,0,13,0,0,4,4,13,0.0,0.0,0.0,0.9999999230769291,19.943661971830988,low
1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1024-2563,อาร์กอน,2025-11-01,0,0,8,0,0,5,5,8,0.0,0.0,0.0,0.9999998750000157,16.604068857589986,low
1025-2562,หัวนมยางดูดเล่น,2025-11-01,11,15,0,10,14,0,24,26,1.3636362396694328,0.5769230547337286,0.4230769068047343,0.0,32.75976809952711,low
1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,2025-11-01,0,0,15,0,0,15,15,15,0.0,0.0,0.0,0.9999999333333378,6.167840375586854,low
1033-2552,แลกเกอร์แอโรซอล,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,2025-11-01,98,291,0,29,116,0,145,389,2.969387724802166,0.7480719775113831,0.25192801991792285,0.0,37.995920365196675,low
1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,2025-11-01,10,0,0,9,0,0,9,10,0.0,0.0,0.99999990000001,0.0,9.924882629107982,low
1045-2535,กระดาษพิมพ์ต่อเนื่อง,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,2025-11-01,0,0,12,0,0,12,12,12,0.0,0.0,0.0,0.9999999166666736,7.6128566269411335,low
1052-2534,ชุดระบายน้ำหลังคา,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1053-2534,ชุดระบายน้ำพื้น,2025-11-01,0,0,3,0,0,2,2,3,0.0,0.0,0.0,0.9999996666667778,33.30203442879499,low
1054-2560,กระดาษถ่ายเอกสาร,2025-11-01,0,0,10,0,0,7,7,10,0.0,0.0,0.0,0.99999990000001,12.429577464788732,low
1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,2025-11-01,31,5,0,23,5,0,28,36,0.1612903173777317,0.1388888850308643,0.8611110871913588,0.0,10.305299117118228,low
1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,2025-11-01,0,0,31,0,0,25,25,31,0.0,0.0,0.0,0.9999999677419364,3.7594799566630552,low
1092-2548,สีรองพื้นกัดผิว,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
11 เล่ม 101-2559,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 101 สายไฟฟ้ามีเปลือกสำหรับงานทั่วไป,2025-11-01,45,6,0,36,6,0,42,51,0.13333333037037046,0.11764705651672439,0.882352923875433,0.0,8.118404865779533,low
11 เล่ม 3-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 3 สายไฟฟ้าไม่มีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,108,28,0,55,22,0,77,136,0.2592592568587106,0.20588235142733566,0.7941176412197233,0.0,11.48467986895172,low
11 เล่ม 4-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 4 สายไฟฟ้ามีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,40,2,0,31,2,0,33,42,0.04999999875000003,0.0476190464852608,0.952380929705216,0.0,5.233755445342457,low
11 เล่ม 5-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 5 สายอ่อน,2025-11-01,95,30,0,54,20,0,74,125,0.31578947036011085,0.23999999808000003,0.7599999939200001,0.0,13.241940577257848,low
1101-2535,อุปกรณ์ช่วยปิดประตูสำหรับประตูบานผลักสองทาง,2025-11-01,0,0,11,0,0,5,5,11,0.0,0.0,0.0,0.9999999090909174,16.604068857589986,low
111-2538,ผ้าถักวงกลม,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1115-2535,แฟ้มกระดาษ,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,2025-11-01,0,0,6,0,0,5,5,6,0.0,0.0,0.0,0.9999998333333611,16.604068857589986,low
1123-2555,สีรองพื้นสำหรับงานปูน,2025-11-01,0,0,48,0,0,45,45,48,0.0,0.0,0.0,0.9999999791666672,2.084098795672586,low
1128-2562,แผ่นเหล็กมุงหลังคา,2025-11-01,0,0,26,0,0,24,24,26,0.0,0.0,0.0,0.9999999615384629,3.9136150234741782,low
1129-2535,ชุดพื้นยก,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
113-2562,ตะปูเหล็ก,2025-11-01,0,0,7,0,0,7,7,7,0.0,0.0,0.0,0.9999998571428775,12.429577464788732,low
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,2025-11-01,5,8,0,4,8,0,12,13,1.599999680000064,0.615384568047341,0.3846153550295881,0.0,38.3820853912991,low
1139-2536,ท่อทองแดงไร้ตะเข็บ,2025-11-01,0,0,8,0,0,1,1,8,0.0,0.0,0.0,0.9999998750000157,50.0,medium
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,2025-11-01,0,0,4,0,0,4,4,4,0.0,0.0,0.0,0.9999997500000625,19.943661971830988,low
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1147-2549,ดินสอสี,2025-11-01,0,0,3,0,0,3,3,3,0.0,0.0,0.0,0.9999996666667778,24.953051643192488,low
1149-2548,สีเทียน,2025-11-01,9,14,0,8,8,0,16,23,1.5555553827160686,0.6086956257088858,0.39130433081285515,0.0,36.234284543251995,low
115-2529,กุ้งเยือกแข็ง,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,2025-11-01,0,0,116,0,0,18,18,116,0.0,0.0,0.0,0.9999999913793104,5.179145045712874,low
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,2025-11-01,0,0,4,0,0,2,2,4,0.0,0.0,0.0,0.9999997500000625,33.30203442879499,low
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,2025-11-01,0,0,137,0,0,119,119,137,0.0,0.0,0.0,0.99999999270073,0.7410015649452268,low
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,2025-11-01,0,0,33,0,0,25,25,33,0.0,0.0,0.0,0.9999999696969707,3.7594799566630552,low
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,2025-11-01,0,0,149,0,0,128,128,149,0.0,0.0,0.0,0.9999999932885907,0.6827528478363721,low
1170-2536,ฟรักโทสซิรัป,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,2025-11-01,0,0,21,0,0,19,19,21,0.0,0.0,0.0,0.9999999523809546,4.915492957746479,low
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,2025-11-01,0,0,14,0,0,4,4,14,0.0,0.0,0.0,0.9999999285714337,19.943661971830988,low
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,2025-11-01,0,0,5,0,0,1,1,5,0.0,0.0,0.0,0.99999980000004,50.0,medium
1181-2536,ขวดนมพลาสติก,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,2025-11-01,0,0,4,0,0,2,2,4,0.0,0.0,0.0,0.9999997500000625,33.30203442879499,low
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,2025-11-01,0,0,2,0,0,2,2,2,0.0,0.0,0.0,0.99999950000025,33.30203442879499,low
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,5,0,0,5,5,5,0.0,0.0,0.0,0.99999980000004,16.604068857589986,low
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,2025-11-01,0,0,14,0,0,7,7,14,0.0,0.0,0.0,0.9999999285714337,12.429577464788732,low
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,2025-11-01,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.9999990000010001,50.0,medium
1220-2541,ชุดประตูทนไฟแบบบานเปิด,2025-11-01,0,0,17,0,0,17,17,17,0.0,0.0,0.0,0.999999941176474,5.472091810119979,low
1222-2560,กระจกนิรภัยหลายชั้น,2025-11-01,35,87,0,32,32,0,64,122,2.4857142146938798,0.7131147482531578,0.28688524355012096,0.0,37.10319178663336,low
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,2025-11-01,19,19,0,11,9,0,20,38,0.9999999473684238,0.49999998684210567,0.49999998684210567,0.0,29.67695022866647,low
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,2025-11-01,45,0,0,40,0,0,40,45,0.0,0.0,0.9999999777777784,0.0,2.349708004122295,low
