tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date,num_total_entrepreneurs,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio
1005-2564,สีเคลือบกึ่งเงาแอลคีด,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1013-2533,บานประตูพีวีซี,0,0,0,0,24,18,24,2025-11-01,18,0.0,0.0,0.0,0.999999958333335
1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,0,0,0,0,13,4,13,2025-11-01,4,0.0,0.0,0.0,0.9999999230769291
1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1024-2563,อาร์กอน,0,0,0,0,8,5,8,2025-11-01,5,0.0,0.0,0.0,0.9999998750000157
1025-2562,หัวนมยางดูดเล่น,11,10,15,14,0,0,26,2025-11-01,24,1.3636362396694328,0.5769230547337286,0.4230769068047343,0.0
1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,0,0,0,0,15,15,15,2025-11-01,15,0.0,0.0,0.0,0.9999999333333378
1033-2552,แลกเกอร์แอโรซอล,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,98,29,291,116,0,0,389,2025-11-01,145,2.969387724802166,0.7480719775113831,0.25192801991792285,0.0
1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,10,9,0,0,0,0,10,2025-11-01,9,0.0,0.0,0.99999990000001,0.0
1045-2535,กระดาษพิมพ์ต่อเนื่อง,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,0,0,0,0,12,12,12,2025-11-01,12,0.0,0.0,0.0,0.9999999166666736
1052-2534,ชุดระบายน้ำหลังคา,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1053-2534,ชุดระบายน้ำพื้น,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
1054-2560,กระดาษถ่ายเอกสาร,0,0,0,0,10,7,10,2025-11-01,7,0.0,0.0,0.0,0.99999990000001
1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,31,23,5,5,0,0,36,2025-11-01,28,0.1612903173777317,0.1388888850308643,0.8611110871913588,0.0
1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,0,0,0,0,31,25,31,2025-11-01,25,0.0,0.0,0.0,0.9999999677419364
1092-2548,สีรองพื้นกัดผิว,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,0,0,0,0,4,4,4,2025-11-01,4,0.0,0.0,0.0,0.9999997500000625
