tis_number,tis_name_th,snapshot_date,num_total_entrepreneurs,import_dependency_ratio,entrepreneur_risk_raw,entrepreneur_risk_norm,import_dependency_norm,risk_score,risk_label
1005-2564,สีเคลือบกึ่งเงาแอลคีด,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1013-2533,บานประตูพีวีซี,2025-11-01,18,0.0,0.05263157894736842,0.10358290091425747,0.0,5.179145045712874,low
1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1024-2563,อาร์กอน,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
1025-2562,หัวนมยางดูดเล่น,2025-11-01,24,0.5769230547337286,0.04,0.07827230046948357,0.5769230615210587,32.75976809952711,low
1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,2025-11-01,15,0.0,0.0625,0.12335680751173708,0.0,6.167840375586854,low
1033-2552,แลกเกอร์แอโรซอล,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,2025-11-01,145,0.7480719775113831,0.00684931506849315,0.011846420991703644,0.7480719863122299,37.995920365196675,low
1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,2025-11-01,9,0.0,0.1,0.19849765258215962,0.0,9.924882629107982,low
1045-2535,กระดาษพิมพ์ต่อเนื่อง,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,2025-11-01,12,0.0,0.07692307692307693,0.15225713253882267,0.0,7.6128566269411335,low
1052-2534,ชุดระบายน้ำหลังคา,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1053-2534,ชุดระบายน้ำพื้น,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1054-2560,กระดาษถ่ายเอกสาร,2025-11-01,7,0.0,0.125,0.24859154929577465,0.0,12.429577464788732,low
1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,2025-11-01,28,0.1388888850308643,0.034482758620689655,0.06721709567751336,0.1388888866648512,10.305299117118228,low
1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,2025-11-01,25,0.0,0.038461538461538464,0.0751895991332611,0.0,3.7594799566630552,low
1092-2548,สีรองพื้นกัดผิว,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
11 เล่ม 101-2559,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 101 สายไฟฟ้ามีเปลือกสำหรับงานทั่วไป,2025-11-01,42,0.11764705651672439,0.023255813953488372,0.04472103941478327,0.1176470579008074,8.118404865779533,low
11 เล่ม 3-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 3 สายไฟฟ้าไม่มีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,77,0.20588235142733566,0.01282051282051282,0.023811243529553387,0.20588235384948098,11.48467986895172,low
11 เล่ม 4-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 4 สายไฟฟ้ามีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,33,0.0476190464852608,0.029411764705882353,0.05705606186136426,0.04761904704548488,5.233755445342457,low
11 เล่ม 5-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 5 สายอ่อน,2025-11-01,74,0.23999999808000003,0.013333333333333334,0.024838810641627542,0.2400000009035294,13.241940577257848,low
1101-2535,อุปกรณ์ช่วยปิดประตูสำหรับประตูบานผลักสองทาง,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
111-2538,ผ้าถักวงกลม,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1115-2535,แฟ้มกระดาษ,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
1123-2555,สีรองพื้นสำหรับงานปูน,2025-11-01,45,0.0,0.021739130434782608,0.04168197591345172,0.0,2.084098795672586,low
1128-2562,แผ่นเหล็กมุงหลังคา,2025-11-01,24,0.0,0.04,0.07827230046948357,0.0,3.9136150234741782,low
1129-2535,ชุดพื้นยก,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
113-2562,ตะปูเหล็ก,2025-11-01,7,0.0,0.125,0.24859154929577465,0.0,12.429577464788732,low
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,2025-11-01,12,0.615384568047341,0.07692307692307693,0.15225713253882267,0.6153845752871594,38.3820853912991,low
1139-2536,ท่อทองแดงไร้ตะเข็บ,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1147-2549,ดินสอสี,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1149-2548,สีเทียน,2025-11-01,16,0.6086956257088858,0.058823529411764705,0.115990057995029,0.6086956328700108,36.234284543251995,low
115-2529,กุ้งเยือกแข็ง,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,2025-11-01,18,0.0,0.05263157894736842,0.10358290091425747,0.0,5.179145045712874,low
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,2025-11-01,119,0.0,0.008333333333333333,0.014820031298904537,0.0,0.7410015649452268,low
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,2025-11-01,25,0.0,0.038461538461538464,0.0751895991332611,0.0,3.7594799566630552,low
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,2025-11-01,128,0.0,0.007751937984496124,0.013655056956727443,0.0,0.6827528478363721,low
1170-2536,ฟรักโทสซิรัป,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,2025-11-01,19,0.0,0.05,0.09830985915492958,0.0,4.915492957746479,low
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1181-2536,ขวดนมพลาสติก,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,2025-11-01,7,0.0,0.125,0.24859154929577465,0.0,12.429577464788732,low
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1220-2541,ชุดประตูทนไฟแบบบานเปิด,2025-11-01,17,0.0,0.05555555555555555,0.10944183620239957,0.0,5.472091810119979,low
1222-2560,กระจกนิรภัยหลายชั้น,2025-11-01,64,0.7131147482531578,0.015384615384615385,0.02894907908992416,0.713114756642743,37.10319178663336,low
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,2025-11-01,20,0.49999998684210567,0.047619047619047616,0.09353901184887099,0.49999999272445844,29.67695022866647,low
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,2025-11-01,40,0.0,0.024390243902439025,0.0469941600824459,0.0,2.349708004122295,low
