tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,total_licenses,num_manufacturing_licenses_diff,num_manufacturing_licenses_pct_change,num_import_licenses_diff,num_import_licenses_pct_change,num_display_licenses_diff,num_display_licenses_pct_change,total_licenses_diff,total_licenses_pct_change
1005-2564,สีเคลือบกึ่งเงาแอลคีด,2025-11-01,0,0,2,2,,,,,,,,
1006-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับงานอุณหภูมิสูงและทนการกัดกร่อนทั่วไป,2025-11-01,0,0,2,2,,,,,,,,
1013-2533,บานประตูพีวีซี,2025-11-01,0,0,24,24,,,,,,,,
1020-2533,เครื่องเรือนสำหรับสำนักงาน : เก้าอี้ทำงานปรับได้,2025-11-01,0,0,13,13,,,,,,,,
1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,2025-11-01,0,0,3,3,,,,,,,,
1024-2563,อาร์กอน,2025-11-01,0,0,8,8,,,,,,,,
1025-2562,หัวนมยางดูดเล่น,2025-11-01,11,15,0,26,,,,,,,,
1032-2534,น้ำยาประสานท่อพีวีซีแข็งและข้อต่อท่อพีวีซีแข็ง,2025-11-01,0,0,15,15,,,,,,,,
1033-2552,แลกเกอร์แอโรซอล,2025-11-01,0,0,1,1,,,,,,,,
1039-2547,หม้อหุงข้าวไฟฟ้า เฉพาะด้านความปลอดภัย,2025-11-01,98,291,0,389,,,,,,,,
1040-2541,น้ำมันเครื่องสำหรับเครื่องยนต์เบนซินสองจังหวะ,2025-11-01,10,0,0,10,,,,,,,,
1045-2535,กระดาษพิมพ์ต่อเนื่อง,2025-11-01,0,0,2,2,,,,,,,,
1048-2551,สีอีพ็อกซีสำหรับเคลือบท่อเหล็กกล้าส่งน้ำบริโภค,2025-11-01,0,0,12,12,,,,,,,,
1052-2534,ชุดระบายน้ำหลังคา,2025-11-01,0,0,2,2,,,,,,,,
1053-2534,ชุดระบายน้ำพื้น,2025-11-01,0,0,3,3,,,,,,,,
1054-2560,กระดาษถ่ายเอกสาร,2025-11-01,0,0,10,10,,,,,,,,
1056 เล่ม 1-2556,ถุงมือสำหรับการตรวจวินิจฉัยทางการแพทย์ชนิดใช้ครั้งเดียว เล่ม 1 : เกณฑ์กำหนดสำหรับถุงมือที่ทำจากน้ำยางหรือสารละลายยาง,2025-11-01,31,5,0,36,,,,,,,,
1062-2561,ท่อยางสำหรับงานเชื่อม งานตัด และงานประกบด้วยก๊าซ,2025-11-01,0,0,1,1,,,,,,,,
1065-2534,เบนทอไนต์สำหรับทำโคลนเจาะ,2025-11-01,0,0,1,1,,,,,,,,
107-2566,ท่อเหล็กกล้าคาร์บอนสำหรับงานโครงสร้างทั่วไป,2025-11-01,0,0,31,31,,,,,,,,
1092-2548,สีรองพื้นกัดผิว,2025-11-01,0,0,1,1,,,,,,,,
1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,2025-11-01,0,0,4,4,,,,,,,,
11 เล่ม 101-2559,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 101 สายไฟฟ้ามีเปลือกสำหรับงานทั่วไป,2025-11-01,45,6,0,51,,,,,,,,
11 เล่ม 3-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 3 สายไฟฟ้าไม่มีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,108,28,0,136,,,,,,,,
11 เล่ม 4-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 4 สายไฟฟ้ามีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,40,2,0,42,,,,,,,,
11 เล่ม 5-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 5 สายอ่อน,2025-11-01,95,30,0,125,,,,,,,,
1101-2535,อุปกรณ์ช่วยปิดประตูสำหรับประตูบานผลักสองทาง,2025-11-01,0,0,11,11,,,,,,,,
111-2538,ผ้าถักวงกลม,2025-11-01,0,0,1,1,,,,,,,,
1115-2535,แฟ้มกระดาษ,2025-11-01,0,0,3,3,,,,,,,,
1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,2025-11-01,0,0,6,6,,,,,,,,
1123-2555,สีรองพื้นสำหรับงานปูน,2025-11-01,0,0,48,48,,,,,,,,
1128-2562,แผ่นเหล็กมุงหลังคา,2025-11-01,0,0,26,26,,,,,,,,
1129-2535,ชุดพื้นยก,2025-11-01,0,0,2,2,,,,,,,,
113-2562,ตะปูเหล็ก,2025-11-01,0,0,7,7,,,,,,,,
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,2025-11-01,0,0,1,1,,,,,,,,
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,2025-11-01,5,8,0,13,,,,,,,,
1139-2536,ท่อทองแดงไร้ตะเข็บ,2025-11-01,0,0,8,8,,,,,,,,
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,2025-11-01,0,0,4,4,,,,,,,,
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,2025-11-01,0,0,3,3,,,,,,,,
1147-2549,ดินสอสี,2025-11-01,0,0,3,3,,,,,,,,
1149-2548,สีเทียน,2025-11-01,9,14,0,23,,,,,,,,
115-2529,กุ้งเยือกแข็ง,2025-11-01,0,0,1,1,,,,,,,,
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,2025-11-01,0,0,116,116,,,,,,,,
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,2025-11-01,0,0,4,4,,,,,,,,
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,2025-11-01,0,0,137,137,,,,,,,,
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,2025-11-01,0,0,33,33,,,,,,,,
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,2025-11-01,0,0,149,149,,,,,,,,
1170-2536,ฟรักโทสซิรัป,2025-11-01,0,0,1,1,,,,,,,,
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,2025-11-01,0,0,21,21,,,,,,,,
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,2025-11-01,0,0,2,2,,,,,,,,
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,2025-11-01,0,0,14,14,,,,,,,,
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,2025-11-01,0,0,5,5,,,,,,,,
1181-2536,ขวดนมพลาสติก,2025-11-01,0,0,1,1,,,,,,,,
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,2025-11-01,0,0,4,4,,,,,,,,
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,2025-11-01,0,0,2,2,,,,,,,,
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,5,5,,,,,,,,
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,2025-11-01,0,0,14,14,,,,,,,,
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,2025-11-01,0,0,1,1,,,,,,,,
1220-2541,ชุดประตูทนไฟแบบบานเปิด,2025-11-01,0,0,17,17,,,,,,,,
1222-2560,กระจกนิรภัยหลายชั้น,2025-11-01,35,87,0,122,,,,,,,,
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,2025-11-01,19,19,0,38,,,,,,,,
